time/iterations,train/ent_coef,time/total_timesteps,rollout/ep_score_median,rollout/ep_score_p90,rollout/ep_rew_mean,rollout/ep_count,time/time_elapsed,time/fps,rollout/ep_len_mean,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_range,train/n_updates,train/loss,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/clip_fraction
11,0.018287872,90112,-7.0371760000000005,200.62736360000005,3.0835277500000013,110,5,17736,74.89,0.011735577,-0.937451821565628,0.000942656,0.2,100,1598.56396484375,3375.794122314453,-0.0032576301833614706,0.13607460260391235,0.05555419921875
12,0.018132224000000002,98304,1.042714,189.18557780000003,3.958814570000001,109,5,17694,73.77,0.0052999044,-0.8745179086923599,0.0009369216,0.2,110,1972.3394775390625,4099.433349609375,-0.0019157116825226695,0.1585763692855835,0.00859375
13,0.017976576,106496,4.9578714999999995,200.1229596,17.54161613,114,6,17649,72.68,0.0020814906,-0.7843350917100906,0.0009311872000000001,0.2,120,1918.7618408203125,3920.7256103515624,-0.0012231899600010365,0.21106183528900146,0.00164794921875
14,0.017820928,114688,16.273926499999998,214.6160033000001,29.508353909999997,110,6,17623,73.43,0.0016045698,-0.7341969773173332,0.0009254528000000001,0.2,130,1749.370361328125,3691.514752197266,-0.0012780339107848703,0.25198131799697876,0.0014892578125
15,0.017665280000000002,122880,29.89066,193.40004900000005,44.12227437000001,105,6,17606,72.6,0.0050979573,-0.6717560440301895,0.0009197184000000001,0.2,140,2075.72216796875,4140.132220458984,-0.003101063915528357,0.2783467173576355,0.0311767578125
16,0.017509632,131072,28.18215,233.66573380000003,173.92869554000004,109,7,17589,80.58,0.00026565825,-0.6568382054567337,0.0009139840000000001,0.2,150,16229.0693359375,31457.5060546875,-0.0002659927849890664,0.06455641984939575,0.0
17,0.017353984,139264,49.9614845,204.4704105,53.32132613000001,112,7,17566,73.4,0.0012307656,-0.6607598558068275,0.0009082496000000001,0.2,160,12858.66796875,27233.000732421875,-0.0021087856439407915,0.06383299827575684,0.0036865234375
18,0.017198336,147456,27.377995,238.72518400000004,54.65714945,110,8,17549,74.01,0.0020823274,-0.6422276824712754,0.0009025152000000001,0.2,170,1537.068359375,3348.319366455078,-0.000904932912089862,0.28911054134368896,0.0016845703125
19,0.017042688,155648,56.387865,192.35034980000003,57.01295604999999,115,8,17533,70.84,0.0017805351,-0.6114398673176765,0.0008967808000000001,0.2,180,2035.290771484375,4093.797326660156,-0.0007410845952108503,0.24398952722549438,0.00479736328125
20,0.016887040000000002,163840,24.690586500000002,253.11098760000004,52.963124549999996,114,9,17525,70.66,0.0019714085,-0.6211981862783432,0.0008910464000000001,0.2,190,1673.068603515625,3409.1529235839844,-0.0007641152013093233,0.2689862847328186,0.004931640625
21,0.016731392,172032,37.336119,240.58769139999998,57.41915448,113,9,17517,72.67,0.0016005184,-0.6492694541811943,0.0008853120000000001,0.2,200,1944.977294921875,4050.9541870117187,-0.0005528951864107512,0.25960075855255127,0.002490234375
22,0.016575744,180224,51.5201145,244.79683940000007,43.130321599999995,110,10,17505,74.9,0.002058125,-0.6568128928542137,0.0008795776000000001,0.2,210,2491.1201171875,5638.514562988281,-0.0012477099342504516,0.21772342920303345,0.0049072265625
23,0.016420096,188416,52.289881,236.91461890000014,77.93167546000001,110,10,17499,74.5,0.0031305347,-0.6386766552925109,0.0008738432000000001,0.2,220,1838.2943115234375,3860.203533935547,-0.0013130487874150275,0.3440766930580139,0.01373291015625
24,0.016264448,196608,69.124873,205.1466802,67.38107045,113,11,17532,72.38,0.00062763505,-0.611084733903408,0.0008681088000000001,0.2,230,2342.396484375,4771.988623046875,-0.0006378217425663024,0.2902942895889282,0.0
25,0.0161088,204800,59.36064,288.66419820000004,97.31699653000001,117,11,17524,70.65,0.0032876246,-0.5461793124675751,0.0008623744000000001,0.2,240,1263.4619140625,2695.9338928222655,-0.0025333693803986533,0.32420867681503296,0.0203125
26,0.015953152,212992,31.460136,239.76174960000003,134.83613355,109,12,17523,75.44,0.0010712184,-0.4766084231436253,0.0008566400000000001,0.2,250,2185.128173828125,4832.502880859375,-0.0012179178826045244,0.18309950828552246,0.00946044921875
