time/iterations,train/ent_coef,time/total_timesteps,rollout/ep_score_median,rollout/ep_score_p90,rollout/ep_rew_mean,rollout/ep_count,time/time_elapsed,time/fps,rollout/ep_len_mean,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_range,train/n_updates,train/loss,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/clip_fraction
17,0.017353984,139264,91.919635,163.7651654,92.54564213000002,95,7,18208,85.49,0.003929475,-1.3569026976823806,0.0009082496000000001,0.2,160,880.7356567382812,1702.5066833496094,-0.0011954655608860775,0.07391220331192017,0.00067138671875
18,0.017198336,147456,73.425579,155.1681874,74.67750585000002,93,8,18209,86.41,0.008085285,-1.3561333686113357,0.0009025152000000001,0.2,170,717.3364868164062,1588.2692657470702,-0.0014731187518918886,0.10639524459838867,0.01444091796875
19,0.017042688,155648,71.97668,158.18579220000004,82.92198352,95,8,18200,85.34,0.009936441,-1.3520961582660675,0.0008967808000000001,0.2,180,543.8077392578125,1162.134602355957,-0.004902912516263314,0.07172435522079468,0.09151611328125
20,0.016887040000000002,163840,82.0320585,141.17072089999996,78.98760876,98,9,18183,86.83,0.0063254205,-1.344669646024704,0.0008910464000000001,0.2,190,565.6975708007812,1211.2465423583985,-0.003075856657233089,0.14631736278533936,0.0599365234375
21,0.016731392,172032,87.901952,164.67307,90.60047274000003,91,9,18175,90.88,0.010083982,-1.3462557464838028,0.0008853120000000001,0.2,200,571.3969116210938,1146.8234405517578,-0.0043430140358395875,0.1068233847618103,0.04388427734375
22,0.016575744,180224,86.733046,120.6155028,84.71314816000002,87,9,18165,90.48,0.012431692,-1.3372273296117783,0.0008795776000000001,0.2,210,543.8487548828125,1198.0597534179688,-0.00334477192373015,0.14017343521118164,0.035546875
23,0.016420096,188416,93.517899,163.70029170000007,98.10646051999998,80,10,18155,103.06,0.006098433,-1.3255956918001175,0.0008738432000000001,0.2,220,278.3876647949219,583.4518539428711,-0.003249996621161699,0.10321289300918579,0.0333251953125
24,0.016264448,196608,108.6820175,171.2813069,106.76556072,78,10,18149,101.71,0.007123582,-1.3164758205413818,0.0008681088000000001,0.2,230,377.87811279296875,782.3541122436524,-0.002191843772016,0.11327391862869263,0.0109375
25,0.0161088,204800,97.004066,164.716293,107.43078134000001,86,11,18142,96.26,0.0027211762,-1.288315612077713,0.0008623744000000001,0.2,240,438.44842529296875,910.3885696411132,-0.0018333904445171356,0.10409283638000488,0.0061767578125
26,0.015953152,212992,103.380694,178.27456540000003,112.61042888,85,11,18142,96.7,0.005018203,-1.2659463167190552,0.0008566400000000001,0.2,250,320.0875244140625,715.254786682129,-0.0017956454074010253,0.06560444831848145,0.01016845703125
