rollout_id,env_id,ep_rew_total,ep_len,timestep_global,terminal_status,x_pos,y_pos,x_vel,y_vel,angle,angular_vel,leg1_contact,leg2_contact,reward_shaping_delta,reward_main_engine_penalty,reward_side_engine_penalty
7,6,28.202396,68,60416,crashed,-0.53584,0.017799435,-0.08990231,0.0937092,1.3369763,0.5097112,0.0,1.0,33.72239685058594,-4.499999999999999,-1.0200000000000007
7,1,147.969816,73,60424,landed_off_centered,0.20452872,-0.021552792,-5.0833364e-08,6.715091e-09,0.2762767,1.5267929e-07,1.0,1.0,154.98981475830078,-5.999999999999998,-1.0200000000000007
7,7,82.752168,63,60656,crashed,0.1370779,-0.013837471,0.18399282,-0.48644316,-0.391505,4.8086033,1.0,0.0,87.25216674804688,-3.599999999999999,-0.9000000000000006
7,5,83.959094,73,60840,crashed,-0.025463104,-0.006091466,-0.026382864,-0.2260546,-0.5346235,3.3096416,1.0,0.0,88.84909057617188,-3.599999999999999,-1.290000000000001
7,2,89.730168,128,60968,crashed,0.35770148,-0.07350514,0.5097714,-0.33182457,0.0730984,-1.8344078,0.0,1.0,99.9001693725586,-7.799999999999997,-2.369999999999999
7,4,56.410142,76,60968,crashed,-0.35185212,-0.065419644,-0.781412,-0.4459615,-0.23214237,3.4657676,1.0,0.0,63.550140380859375,-5.999999999999998,-1.1400000000000008
7,1,81.37996,69,60976,landed_centered,-0.061362077,-0.03976928,0.019839477,-0.9201833,0.033039697,-5.4215593,1.0,1.0,85.69995880126953,-3.2999999999999994,-1.0200000000000007
7,0,121.44488,98,61096,landed_off_centered,0.53341377,-0.0869948,0.22798614,0.011467668,0.07559452,-2.501247e-07,1.0,1.0,130.14488220214844,-7.1999999999999975,-1.500000000000001
7,3,132.673328,95,61136,landed_off_centered,-0.51550615,-0.1393322,-1.6438185e-07,1.1661892e-07,-0.18003793,8.7298605e-07,1.0,1.0,141.25332641601562,-6.899999999999998,-1.6800000000000013
7,7,95.185295,70,61216,crashed,-0.00096149446,-0.010999229,0.029509827,-0.46266398,0.4471619,-4.383106,0.0,1.0,101.3052978515625,-5.099999999999999,-1.0200000000000007
7,6,-100.855006,105,61256,crashed,0.64335,-0.22640261,0.99992,-0.36787578,1.3432418,-0.23630638,0.0,0.0,-91.94500732421875,-7.499999999999997,-1.410000000000001
7,2,192.083688,65,61488,landed_but_slid_into_valley,-0.14877443,-0.04260527,-0.019998668,0.00036600427,-0.0022142648,-0.0019408042,0.0,1.0,198.2336883544922,-5.099999999999999,-1.0500000000000007
7,0,87.583693,64,61608,landed_centered,-0.033347607,-0.04130508,0.046016727,-0.97116816,0.016223768,-5.519946,1.0,1.0,91.30369567871094,-2.6999999999999997,-1.0200000000000007
7,5,101.620577,102,61656,crashed,-0.17691489,-0.0066371346,0.04221918,-0.28226182,-0.5270742,3.7583072,1.0,0.0,108.64057922363281,-5.399999999999999,-1.6200000000000012
7,1,88.195277,101,61784,crashed,0.27245712,-0.0018494272,0.12356508,-0.114247896,0.6403187,-2.2450733,0.0,1.0,95.75527954101562,-5.699999999999998,-1.8600000000000014
7,7,62.173704,72,61792,landed_off_centered,-0.28267866,-0.026775053,-0.20317371,-0.92859495,0.15390608,-5.8364525,1.0,1.0,66.40370178222656,-2.9999999999999996,-1.2300000000000009
7,4,80.78429,114,61880,crashed,0.37105656,0.1038786,-0.27194673,-0.31453222,0.3067918,3.682563,0.0,1.0,90.47428894042969,-7.799999999999997,-1.8900000000000015
7,3,-38.151629,98,61920,crashed,-0.5872752,-0.19437328,-0.6905662,-0.46845657,-0.9804533,-5.288203,1.0,0.0,-31.281631469726562,-5.399999999999999,-1.470000000000001
7,0,100.316613,57,62064,landed_centered,-0.06941652,-0.034659103,-0.0068955594,-0.95454687,0.09887297,-5.6671066,1.0,1.0,104.03661346435547,-2.9999999999999996,-0.7200000000000004
7,6,-21.284803,102,62072,crashed,0.6361612,-0.18814425,1.2238332,-0.84728277,-0.13825141,-4.8820987,0.0,1.0,-14.594802856445312,-5.099999999999999,-1.5900000000000012
7,1,68.81752,66,62312,crashed,-0.17381087,-0.012721994,-0.37862703,-0.4759758,-0.4117229,4.8162813,1.0,0.0,72.98751831054688,-2.9999999999999996,-1.1700000000000008
7,2,-308.835262,108,62352,out_of_bounds,0.9954411,-0.06478049,0.9450544,-5.9270937e-05,-3.2611353,-1.7310492,0.0,0.0,-301.96527099609375,-5.099999999999999,-1.7700000000000014
7,7,61.736862,77,62408,crashed,-0.05814905,-0.027725913,-0.09291771,-0.6937004,0.17805016,-5.181447,0.0,1.0,67.61685943603516,-4.499999999999999,-1.380000000000001
7,5,58.907506,96,62424,crashed,0.12748718,-0.031170227,-0.048061,-0.69378877,-0.13133734,4.9321375,0.0,0.0,65.92750549316406,-5.399999999999999,-1.6200000000000012
7,4,73.322618,77,62496,landed_centered,-0.11175537,-0.033776943,-0.14713,-0.72111946,0.09856591,-4.908908,1.0,1.0,79.20262145996094,-4.799999999999999,-1.0800000000000007
7,3,27.546201,88,62624,landed_off_centered,0.57495403,0.0056723095,1.0688505,-0.68978924,0.08429144,-4.1293554,1.0,1.0,34.386199951171875,-5.699999999999998,-1.1400000000000008
7,6,102.550657,71,62640,landed_centered,0.1816309,-0.031424716,-0.037354935,-0.6769787,-0.0034964555,5.014548,1.0,1.0,108.16065979003906,-4.499999999999999,-1.1100000000000008
7,0,-0.81049,95,62824,crashed,-0.6401956,-0.080931604,-1.1406512,-0.71301335,-0.06626647,4.337999,1.0,0.0,6.839508056640625,-5.999999999999998,-1.6500000000000012
7,7,94.899079,58,62872,crashed,-0.12194471,-0.02702804,-0.20657809,-0.76629245,-0.19668232,5.2751713,1.0,1.0,98.16908264160156,-2.4,-0.8700000000000006
7,1,78.466154,72,62888,crashed,-0.13045244,-0.015838685,-0.18309388,-0.49501964,-0.35876644,4.570233,1.0,0.0,84.52615356445312,-4.799999999999999,-1.260000000000001
7,4,105.422645,65,63016,landed_centered,-0.17283802,-0.041012432,-0.10971768,-0.8164938,-0.032146957,-5.202874,1.0,1.0,110.88264465332031,-4.499999999999999,-0.9600000000000006
7,2,22.920558,94,63104,crashed,0.6725769,0.051326975,0.14309403,-0.9081891,0.45118612,-5.22756,1.0,1.0,30.480560302734375,-5.999999999999998,-1.5600000000000012
7,3,-48.441165,74,63216,crashed,-0.3971053,-0.077002816,0.7795864,-0.18712607,-1.393414,-2.993072,0.0,0.0,-43.52116394042969,-3.599999999999999,-1.320000000000001
7,5,80.014533,104,63256,crashed,-0.07044172,-0.025603535,-0.07497042,-0.6888835,0.2103358,-5.2086177,0.0,1.0,87.78453063964844,-5.999999999999998,-1.7700000000000014
7,6,-195.937926,83,63304,crashed,0.24428454,0.0016243911,-0.4872837,-0.042388726,3.2715218,-1.1130764e-07,0.0,0.0,-189.1279296875,-5.399999999999999,-1.410000000000001
7,7,25.527756,76,63480,crashed,0.43866366,-0.1325135,1.1421249,-0.6716506,0.07360943,-4.225719,0.0,1.0,31.527755737304688,-4.799999999999999,-1.2000000000000008
7,4,116.337733,70,63576,crashed,0.5510461,0.14089043,0.007692498,-0.017628975,-0.44949344,0.60086316,1.0,0.0,122.60773468017578,-5.099999999999999,-1.1700000000000008
7,2,153.236256,82,63760,landed_but_slid_into_valley,-0.0037602424,-0.04274528,-2.8473266e-08,-1.1932608e-09,0.0004078149,9.494376e-08,0.0,1.0,159.9562530517578,-5.399999999999999,-1.320000000000001
7,1,-63.95182,112,63784,crashed,0.33144933,0.006305561,-0.3682812,0.08427591,2.0522368,1.1691273,0.0,1.0,-55.55181884765625,-6.599999999999998,-1.8000000000000014
7,3,141.303526,73,63800,landed_centered,-0.17000684,-0.042782832,-0.25650424,8.286519e-05,-0.00071787357,-0.00039385475,1.0,1.0,147.363525390625,-4.799999999999999,-1.260000000000001
7,5,89.612689,72,63832,landed_off_centered,0.2781312,-0.033677306,0.3830143,-0.7069347,-0.017181685,4.6219788,1.0,1.0,96.30268859863281,-5.699999999999998,-0.9900000000000007
7,0,-133.478891,149,64016,crashed,-0.5364397,-0.12135285,0.50003326,0.035912316,-2.266483,-1.2467264,0.0,0.0,-120.18888854980469,-11.100000000000005,-2.1900000000000004
7,7,66.015937,72,64056,landed_centered,0.134795,-0.042816628,-0.01941875,-1.0193614,0.0005222727,5.5962486,1.0,1.0,70.54593658447266,-3.2999999999999994,-1.2300000000000009
7,6,93.26624,107,64160,crashed,-0.52928746,0.07155534,-0.03773245,-0.16972527,-0.49017787,1.44905,0.0,0.0,101.06623840332031,-5.999999999999998,-1.8000000000000014
7,1,66.352281,82,64440,landed_off_centered,0.2175806,-0.036140896,0.29351377,-0.7480793,-0.024913266,4.823084,1.0,1.0,72.7122802734375,-5.099999999999999,-1.260000000000001
7,5,58.500759,79,64464,crashed,-0.47833315,-0.030329945,0.047489382,-0.50792044,-0.6866479,5.7276034,1.0,0.0,63.84075927734375,-3.899999999999999,-1.440000000000001
7,4,74.787328,112,64472,crashed,0.576392,-0.065597236,-0.43057817,-0.18393682,0.43459085,2.2582574,1.0,1.0,82.55732727050781,-5.999999999999998,-1.7700000000000014
7,2,112.229365,93,64504,crashed,0.44537297,0.020643435,0.03870694,-0.117494896,0.35268524,-1.2607718,0.0,0.0,119.63936614990234,-5.999999999999998,-1.410000000000001
7,0,31.587701,67,64552,crashed,-0.4465074,-0.13394107,-1.0136106,-0.47636557,-0.32860652,3.8887756,1.0,0.0,36.2677001953125,-3.599999999999999,-1.0800000000000007
7,7,102.377557,65,64576,crashed,0.49216366,-0.08159164,-0.24959722,-0.6276423,0.04224448,5.249831,1.0,0.0,106.15755462646484,-2.6999999999999997,-1.0800000000000007
7,3,129.457898,120,64760,crashed,0.18490925,-0.039970804,0.27810818,-0.31560716,-0.11162734,4.003446,1.0,1.0,139.32789611816406,-8.099999999999998,-1.7700000000000014
7,6,71.676029,94,64912,crashed,0.07845459,-0.021873549,0.059054017,-0.46281493,-0.24667792,4.5326586,1.0,0.0,79.50602722167969,-6.599999999999998,-1.2300000000000009
