time/total_timesteps,rollout/ep_score_p90,rollout/ep_count,time/time_elapsed,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_score_median,train/ent_coef,train/entropy_loss,train/clip_fraction,train/approx_kl,train/learning_rate,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/n_updates,train/loss,train/value_loss
106496,927.250127,91,5,492.1515070700001,13,88.84,17750,465.079206,0.017976576,-1.2674086183309554,0.0,0.00024811065,0.0009311872000000001,0.05634164810180664,0.2,-0.0003190601943060756,120,16808.6640625,35137.76025390625
114688,942.665108,91,6,527.82190248,14,88.76,17709,502.344408,0.017820928,-1.2527461409568788,0.0,0.0008620734,0.0009254528000000001,0.0029549002647399902,0.2,-0.0007533553522080183,130,21587.82421875,43105.836328125
122880,986.2411660000002,92,6,557.42480239,15,87.82,17676,540.4779355000001,0.017665280000000002,-1.2281557589769363,0.0,0.0005839401,0.0009197184000000001,0.005011379718780518,0.2,-0.0005301154975313694,140,27940.8359375,55086.27734375
131072,978.6588174999999,96,7,588.21555889,16,85.91,17651,495.698472,0.017509632,-1.2163025885820389,0.0,0.0005102255,0.0009139840000000001,0.0007482171058654785,0.2,-0.0007261055725393817,150,27479.009765625,56512.33349609375
139264,1018.6535179,94,7,602.1801701300001,17,86.37,17628,505.066097,0.017353984,-1.1951287865638733,0.0,0.00029261765,0.0009082496000000001,0.0011014938354492188,0.2,-0.00029530480678658934,160,29538.412109375,60793.2765625
147456,992.4157371,94,8,594.1685443700001,18,88.28,17609,594.7970075000001,0.017198336,-1.1887686878442765,0.0,0.0001567615,0.0009025152000000001,0.0020744800567626953,0.2,-0.0002400870173005387,170,29882.1640625,61803.99150390625
155648,1085.505796,96,8,626.1835447600001,19,85.96,17593,524.818535,0.017042688,-1.1883444488048553,0.0,0.0003629232,0.0008967808000000001,0.0022539496421813965,0.2,-0.00044904473761562256,180,29775.111328125,59480.2060546875
163840,1192.4684098,93,9,648.27535946,20,86.7,17572,556.823504,0.016887040000000002,-1.1589007198810577,0.0,0.00066561764,0.0008910464000000001,0.0024309754371643066,0.2,-0.0007395771710434929,190,35471.41015625,71400.1701171875
172032,1177.1176086000003,95,9,703.2858501100001,21,87.56,17556,611.802798,0.016731392,-1.133195596933365,0.0,0.001059893,0.0008853120000000001,0.0012521743774414062,0.2,-0.0010145472857402637,200,39668.14453125,77727.6818359375
180224,1203.4742098000004,95,10,690.62325627,22,84.99,17542,600.10056,0.016575744,-1.1071063131093979,0.0,0.0002205004,0.0008795776000000001,0.0005922913551330566,0.2,-0.00036047527100890875,210,39917.19140625,82699.922265625
188416,1269.652248,91,10,736.2116224899999,23,88.38,17537,658.440426,0.016420096,-1.1193662673234939,0.0,0.00017787295,0.0008738432000000001,0.0007638335227966309,0.2,-0.00024511219235137107,220,42025.73046875,86385.16171875
196608,1192.3717689999999,96,11,719.0356454199999,24,86.66,17522,620.0799179999999,0.016264448,-1.10351642370224,0.0,9.8000004e-05,0.0008681088000000001,7.921457290649414e-05,0.2,-0.00014855359913781285,230,44446.19140625,89794.2431640625
204800,1293.9831922,97,11,702.58140409,25,85.14,17512,616.035115,0.0161088,-1.0847966730594636,0.0,0.0013681765,0.0008623744000000001,0.0017293691635131836,0.2,-0.0013236418657470495,240,41163.63671875,86590.555859375
212992,1298.7039862000001,95,12,769.2778326200001,26,86.12,17499,638.652537,0.015953152,-1.0609974443912507,0.0,0.0002295807,0.0008566400000000001,0.0006040334701538086,0.2,-0.00024899842392187563,250,45920.609375,92759.973046875
221184,1269.396106,91,12,760.87751999,27,84.32,17491,660.425867,0.015797504,-1.0447949528694154,0.0,0.0008764933,0.0008509056000000001,0.0001964569091796875,0.2,-0.0006739881762769073,260,49342.05859375,101139.55546875
229376,1356.1631662,94,13,984.5600232400002,28,91.73,17481,758.1649525,0.015641856,-1.0331649422645568,0.0,5.779766e-05,0.0008451712000000001,0.00037348270416259766,0.2,-0.00013697555114049463,270,89762.3828125,173602.4890625
237568,1211.1855822,97,13,701.9733809100002,29,83.17,17477,597.546564,0.015486208000000001,-1.0134837329387665,0.0,0.000306556,0.0008394368000000001,1.2040138244628906e-05,0.2,-0.0002403744467301294,280,73630.578125,147068.421484375
245760,1367.7210901,100,14,728.88905997,30,83.19,17467,648.7211585,0.01533056,-1.0505278795957564,0.0,0.00016925379,0.0008337024000000001,5.829334259033203e-05,0.2,-0.00018736368510872126,290,41811.5859375,85376.122265625
253952,1158.5051610000003,102,14,647.05957427,31,79.49,17461,540.8201819999999,0.015174912000000002,-1.0386893510818482,0.0,0.00047932257,0.0008279680000000001,0.00018829107284545898,0.2,-0.0005115658888826147,300,45898.390625,91682.514453125
262144,1364.606332,101,15,762.59074565,32,80.73,17473,688.924953,0.015019264000000001,-1.0140759259462357,0.0,0.0017866422,0.0008222336000000001,0.00011241436004638672,0.2,-0.001184964581625536,310,36523.8515625,77233.8404296875
