rollout_id,env_id,ep_rew_total,ep_len,timestep_global,terminal_status,x_pos,y_pos,x_vel,y_vel,angle,angular_vel,leg1_contact,leg2_contact,reward_y_oscillation,reward_pad_level_bonus,reward_vy_sign_flip,reward_bounce_speed,reward_main_engine_bonus,reward_anti_hover_penalty,reward_legs_penalty,reward_survival,reward_upright_bonus
0,3,7.431832,92,1440,crashed,0.7356968,-0.018547466,1.6353757,-0.8111721,-0.9100578,2.6341803,1.0,0.0,6.0,22.687116861991257,0.0,38.91697859764099,-29.90000000000003,0.0,-20.0,9.199999999999983,-19.47226384980604
0,2,64.627596,82,1496,landed_centered,-0.0064029694,-0.042739347,1.5015245e-14,-4.356862e-14,0.00023969355,1.9915929e-12,1.0,1.0,30.0,27.352329869907845,0.0,38.22061753273019,-15.000000000000018,-6.0,-16.0,8.199999999999987,-2.145351722072519
0,1,24.136608,105,1736,crashed,0.04019928,-0.02673718,0.1488278,-0.6798752,-0.19343422,5.0890465,1.0,0.0,0.0,24.087954421212462,0.0,38.111711859703064,-24.200000000000035,0.0,-12.0,10.499999999999979,-12.363058623071993
0,6,51.619029,107,1736,crashed,-0.4038824,-0.11927074,-0.9155224,-0.7550693,-0.08081108,4.550871,1.0,0.0,12.0,29.37104063694079,0.0,46.40228068828583,-28.10000000000004,0.0,-12.0,10.699999999999978,-6.754292366327718
0,0,99.064158,82,1776,landed_off_centered,0.22388001,-0.027528074,0.1509939,-0.6171957,-0.082232796,4.132044,1.0,1.0,51.0,29.546675043659064,0.0,39.04314208030701,-10.400000000000022,0.0,-16.0,8.199999999999987,-2.3256589920492843
0,4,47.406368,117,1800,crashed,-0.4835287,-0.1341226,-0.75070524,-0.76653343,-0.012028315,4.733176,1.0,0.0,2.0,30.02516292232368,0.0,49.05869734287262,-29.200000000000003,0.0,-12.0,11.699999999999974,-4.177492681366857
0,5,-136.203496,93,1880,out_of_bounds,-1.0132647,0.7408343,-1.6296768,-1.2659886,1.3122118,0.27594763,0.0,0.0,-93.0,8.876962783114291e-05,0.0,0.0,-21.50000000000002,0.0,0.0,9.299999999999983,-31.003585108555853
0,3,89.85477,66,1968,crashed,0.38175136,-0.055173244,0.86440456,-0.72968674,-0.5161144,4.4001837,1.0,0.0,46.0,25.985816631169563,0.0,41.84600019454956,-16.000000000000025,0.0,-8.0,6.5999999999999925,-6.577046821010299
0,2,95.202936,97,2272,landed_off_centered,-0.36598772,-0.1451324,-0.7647239,-0.9639048,0.3085327,4.54362,1.0,1.0,43.0,35.167213098688315,0.0,48.96970880031586,-17.800000000000022,0.0,-20.0,9.699999999999982,-3.833986274432391
0,4,82.684688,70,2360,crashed,0.6419237,-0.05861563,1.4025557,-0.7679416,-0.61036265,3.642831,1.0,0.0,42.0,26.546038601821486,0.0,42.280879735946655,-10.000000000000007,0.0,-12.0,6.999999999999991,-13.142229956109077
0,1,12.079007,86,2424,crashed,-0.35490078,0.065996945,-0.37216908,0.14487754,1.8530023,1.2943963,0.0,1.0,19.0,22.700758033184552,0.0,32.95203384757042,-20.500000000000014,-6.0,-20.0,8.599999999999985,-24.67378454306163
0,0,-0.573153,82,2432,crashed,-0.90922344,0.047785815,-1.9907761,-0.3310628,2.5762322,4.183993,0.0,0.0,2.0,17.4510923046316,0.0,32.1342875957489,-24.20000000000002,0.0,-4.0,8.199999999999987,-32.158532632980496
0,5,39.515538,72,2456,crashed,0.14454384,-0.019153144,0.30917567,-0.6079107,0.3079384,-5.0486345,0.0,1.0,19.0,21.031787409282103,0.0,36.89275276660919,-32.30000000000002,0.0,-8.0,7.19999999999999,-4.309002671507187
0,7,-72.373094,148,2504,out_of_bounds,-0.9685175,0.07370618,-0.1334776,0.033379816,0.56082463,0.39513284,0.0,0.0,-71.0,13.18189561457553,0.0,29.326031252741814,-26.400000000000023,-6.0,-8.0,14.799999999999963,-18.28102124063298
0,6,-90.627914,101,2544,out_of_bounds,-1.0149733,0.21930686,-1.5780576,-1.5401051,1.3013058,0.37217236,0.0,0.0,-59.0,3.5264386617009356,0.0,17.953815698623657,-34.80000000000001,0.0,0.0,10.09999999999998,-28.40816814871505
0,3,6.677335,102,2784,landed_centered,0.010849667,-0.042741276,-8.766506e-08,7.553421e-08,-0.0007941493,3.9672577e-07,1.0,1.0,3.0,25.214873432888503,0.0,39.33711257782623,-40.19999999999999,-6.0,-20.0,10.19999999999998,-4.874651157973858
0,2,-38.315514,68,2816,crashed,0.5404274,0.21075433,0.22293368,0.13702652,-1.6075993,-0.9109293,1.0,0.0,-5.0,6.710197870223141,0.0,17.82959419488907,-22.200000000000024,-6.0,-20.0,6.799999999999992,-16.455306524876505
0,4,61.376864,67,2896,landed_centered,0.15434189,-0.041714277,-2.6348507e-08,-2.995997e-08,0.012852649,1.1928182e-07,1.0,1.0,38.0,24.51284285271149,0.0,38.30938726695119,-23.700000000000017,-6.0,-16.0,6.699999999999992,-0.445366059866501
