rollout_id,env_id,ep_rew_total,ep_len,timestep_global,terminal_status,x_pos,y_pos,x_vel,y_vel,angle,angular_vel,leg1_contact,leg2_contact,reward_hover_high,reward_spin_angle,reward_spin_rate,reward_wander_position,reward_wander_velocity,reward_action_preference,reward_anti_landing,reward_survival
0,1,283.723383,92,3160,crashed,-0.4843751,-0.0443329,-0.6845051,-0.27310607,2.7815478,3.331203,0.0,0.0,131.93307097256184,53.39726008567959,27.526508003473282,31.32243775576353,24.24410629272461,6.100000000000009,0.0,9.199999999999983
0,6,402.852729,105,3384,crashed,0.733774,0.0035929894,1.205056,0.13019651,-2.0393524,-1.5441374,1.0,0.0,217.63173384824768,61.845154317095876,19.998716581612825,46.166337532922626,36.91078716516495,9.800000000000002,0.0,10.499999999999979
0,2,226.605551,77,3432,crashed,0.61062586,-0.16323687,1.1576322,-0.8146709,-0.48462984,4.2639914,1.0,1.0,117.14336506649852,24.726737504824996,8.346307635307312,32.59064474888146,30.498496055603027,5.600000000000005,0.0,7.699999999999989
0,0,176.990405,74,3656,crashed,0.058009338,0.005388925,-0.2256473,-0.0005926825,0.94086224,0.62542975,0.0,1.0,122.57978408783674,19.96699673908006,9.744158276589587,6.80432852357626,5.795137069188058,4.700000000000002,0.0,7.39999999999999
0,3,497.448447,109,3656,out_of_bounds,1.0069616,0.083446175,1.6394196,-1.7258035,-1.8202403,-0.07749128,0.0,0.0,250.86009149253368,97.14860423188657,18.15822133794427,62.436518024653196,50.64501164853573,7.300000000000008,0.0,10.899999999999977
0,4,293.487505,107,3752,landed_off_centered,0.2860446,-0.08536927,0.60542697,-1.0825489,-0.33430222,-4.8216887,1.0,1.0,215.08367367088795,17.662487953784876,6.0250997400144115,20.263717585243285,14.452525727450848,9.300000000000004,0.0,10.699999999999978
0,5,260.403293,86,3808,landed_off_centered,0.60801905,-0.019150462,0.4192725,-0.45178217,-0.084727935,4.614169,1.0,1.0,155.84464764595032,15.975166657939553,5.622784227249213,37.760951846838,30.09974278509617,6.500000000000005,0.0,8.599999999999985
0,6,182.236492,71,3952,crashed,0.3810872,0.079914674,-0.21689384,-0.07601784,0.28681025,1.0839753,0.0,1.0,121.71646608412266,4.645745445974171,4.1717415425227955,20.59317361563444,18.60936564952135,5.400000000000003,0.0,7.099999999999991
0,7,281.689818,111,4024,crashed,-0.21077904,0.033284508,-0.19951646,0.116328806,1.6496247,0.7956722,0.0,1.0,196.30247294157743,35.94559729821776,15.305405233677448,6.851494477799861,11.484847878164146,4.700000000000007,0.0,11.099999999999977
0,1,447.245576,120,4120,crashed,-0.57293844,-0.12876147,-1.6249897,-0.25098404,2.1678674,0.94135064,0.0,1.0,266.59446009388193,69.52930034697056,21.05216770619154,37.41819878388196,28.851449087262154,11.799999999999994,0.0,11.999999999999973
0,4,160.067409,61,4240,landed_off_centered,-0.40388465,0.11318358,-0.35205013,-0.008773779,-0.013768421,1.5858378,1.0,1.0,102.66824553906918,3.584899828885682,3.2533616181463003,18.946768458932638,19.81413373351097,5.700000000000002,0.0,6.099999999999994
0,2,275.655009,105,4272,crashed,0.515319,-0.10393845,0.19016133,0.009378001,0.07405044,-5.461026e-08,0.0,1.0,187.6945069041103,3.0590635416447185,3.0854826779162146,39.30666238628328,25.509293384850025,6.50000000000001,0.0,10.499999999999979
0,5,145.944845,63,4312,landed_off_centered,-0.21898703,-0.024561372,0.05276633,-0.9114629,-0.1408682,-5.3292847,1.0,1.0,101.3521708054468,4.978795024100691,6.0654359387699515,11.246116477996111,10.602326560765505,5.400000000000003,0.0,6.299999999999994
0,3,231.740185,90,4376,landed_off_centered,0.3984847,-0.022405054,0.053287894,0.004446307,0.12975626,0.016279232,1.0,1.0,159.66356289759278,5.175938046071678,4.186481958837248,26.74843712709844,19.565765410661697,7.400000000000007,0.0,8.999999999999984
0,0,439.893677,116,4584,out_of_bounds,-1.0052918,-0.30308303,-1.3323497,-1.7256677,0.66627914,0.033918835,0.0,0.0,241.8171777902171,39.111410290934145,6.627136495517334,80.10728953778744,50.2306624352932,10.399999999999999,0.0,11.599999999999975
0,7,207.265463,70,4584,crashed,0.6150047,-0.081340306,1.5856236,-0.49439332,-0.43211415,0.34536722,1.0,0.0,108.84909223392606,20.135128635913134,5.0690465162624605,30.644581332802773,30.767613917589188,4.800000000000003,0.0,6.999999999999991
0,6,199.361209,80,4592,landed_off_centered,0.2545639,-0.06293395,0.6168977,-0.9642944,-0.26611555,-5.541356,1.0,1.0,145.96214239718392,3.8512716328259557,5.809992210939527,15.179240057244897,12.758562549948692,7.800000000000008,0.0,7.999999999999988
0,4,249.535832,83,4904,crashed,0.3054286,-0.05127982,1.5461948,-0.23276004,-2.141826,-0.8962167,0.0,0.0,141.26901553571224,50.12657884811051,19.750141073949635,9.384020618686918,15.706075977068394,5.0000000000000036,0.0,8.299999999999986
0,1,261.48026,103,4944,crashed,-0.3082889,0.08508819,0.5014101,-0.24990866,0.23310164,-1.7361317,0.0,1.0,194.9372806996107,6.730110771604814,5.418565661995672,23.04270679783076,15.75159615278244,5.3000000000000025,0.0,10.29999999999998
0,2,319.79908,86,4960,crashed,-0.7375208,0.2207604,-0.20441791,0.14871168,1.535745,0.908642,0.0,1.0,173.0897499024868,36.64717270806432,13.592570681124926,43.721383687108755,36.84820334613323,7.300000000000008,0.0,8.599999999999985
0,0,140.939635,61,5072,crashed,0.276958,-0.021924403,0.52180326,-0.66606325,-0.14103279,4.4330807,1.0,0.0,94.0891731819138,7.995948484167457,4.499002684256993,11.848403973504901,13.707106828689575,2.7000000000000006,0.0,6.099999999999994
0,3,444.754295,101,5184,out_of_bounds,-1.0045253,0.86429447,-1.6112139,-0.7598401,0.71864384,0.11232613,0.0,0.0,270.94713032245636,35.05824840441346,7.105352349579334,67.0381236281246,50.20544043183327,4.300000000000005,0.0,10.09999999999998
0,5,378.351862,109,5184,landed_off_centered,0.6099636,0.1832687,-0.22526261,-0.048964016,0.34302127,-0.054586597,1.0,1.0,260.0198740661144,10.545402853924315,4.0849200917291455,52.179406490176916,30.022258207201958,10.599999999999998,0.0,10.899999999999977
